name,lig_ligand_homo,lig_ligand_homo_minus_1,lig_ligand_lumo,lig_ligand_lumo_plus_1,lig_ligand_hl_gap,lig_ligand_fermi_level,lig_ligand_energy,lig_ligand_IP_shift,lig_ligand_IP,lig_ligand_EA_shift,lig_ligand_EA,lig_ligand_GEI,lig_ligand_f_plus_atom_0,lig_ligand_f_minus_atom_0,lig_ligand_f_zero_atom_0,lig_ligand_mulliken_atom_0,lig_ligand_cm5_atom_0,lig_ligand_f_plus_atom_1,lig_ligand_f_minus_atom_1,lig_ligand_f_zero_atom_1,lig_ligand_mulliken_atom_1,lig_ligand_cm5_atom_1,lig_ligand_atom_num,lig_ligand_weight,lig_ligand_farthest_distance,lig_ligand_mol_radius,lig_ligand_mol_size_short,lig_ligand_mol_size_2,lig_ligand_mol_size_l,lig_ligand_length_ratio,lig_ligand_len_div_diameter,lig_ligand_mpp,lig_ligand_sdp,lig_ligand_dipole_moment,lig_ligand_quadrupole_moment,lig_ligand_octopole_moment,lig_morfeus_area,lig_morfeus_volume,lig_morfeus_p_int,lig_morfeus_sasa_area,lig_morfeus_sasa_volume,lig_morfeus_vbur_atom_0,lig_morfeus_sasa_atom_0,lig_morfeus_pyr_P_atom_0,lig_morfeus_pyr_P_angle_atom_0,lig_morfeus_vbur_atom_1,lig_morfeus_sasa_atom_1,lig_morfeus_pyr_P_atom_1,lig_morfeus_pyr_P_angle_atom_1
frame_1_13-bis-trifluoromethyl-benzene_6_butane_0_SINGLE_benzene_0_3,-10.924,-11.08,-8.9201,-8.8558,2.0038,-9.922,-224.043994678372,4.8455,8.997,4.8455,3.0317,3.0319016581311926,0.078,0.118,0.098,0.04269,-0.07989,0.07,0.123,0.097,0.04555,-0.07672,95,1060.5773,58.0,8.778,14.124,15.223,17.386,0.3720283311578541,0.9903167008430164,2.406246,11.03619,52.309202,454.502913,10733.0418,862.930109147297,935.5560163832272,22.93164056713513,1054.9286832390248,2037.6239925687664,0.716793235184495,11.799966537723408,0.9089455812343352,7.201274938856505,0.6879251304509877,15.929954825926597,0.9448172592826798,7.704880945214963
frame_1_13-bis-trifluoromethyl-benzene_6_ethane_0_SINGLE_azane_0_0,-11.6304,-11.8914,-8.9072,-8.8089,2.7232,-10.2688,-206.260612908205,4.8455,9.4206,4.8455,2.9835,2.9877914124761142,0.087,0.165,0.126,0.04221,-0.07988,0.07,0.188,0.129,0.04693,-0.07359,81,971.44253,58.0,8.829,10.509,15.27,17.382,0.4027246820045875,0.9843696907917092,1.586467,7.52556,52.104263,458.230304,11172.8781,735.5565090260066,807.7671526183317,22.443942069972053,932.3167817388504,1776.075694000722,0.7115926667909057,12.149965545198247,0.9083058375496104,7.164983963191136,0.7156226705180768,13.419961943749836,0.9278366618600168,7.426316322323197
frame_1_1H-pyrrole_0_benzene_0_SINGLE_azane_0_6,-8.8491,-9.4389,-5.508,-5.3795,3.3411,-7.1785,-80.596163970013,4.8455,6.6932,4.8455,-0.314,0.7259353350839136,0.121,0.152,0.136,0.0122,-0.10242,0.133,0.164,0.148,0.01608,-0.09703,53,431.4106,39.0,6.903,9.652,11.287,13.435,0.3908477337522546,0.9731276256699988,1.692504,7.318582,55.204363,457.678211,9351.6664,478.08897322700255,508.7197053966704,22.325934044324818,612.0231041131811,1071.7522783616184,0.6520860510622437,20.419942093246764,0.9605941470041454,7.978694696174642,0.7070443533358182,13.5399616034555,0.958411171145465,7.941661512943236
frame_1_2-methylpropane_1_propane_1_SINGLE_acetylene_0_0,-9.3141,-9.4883,-4.6682,-4.3381,4.6459,-6.9911,-74.503017186345,4.8455,7.7368,4.8455,-1.149,0.610512121024556,0.254,0.213,0.233,0.01799,-0.11296,0.262,0.234,0.248,0.01003,-0.11578,68,370.53311,51.0,6.263,9.469,11.776,12.232,0.3653851898318248,0.9765288200542872,1.893152,7.527442,52.797132,432.338064,9103.1185,452.2847621898423,558.0963152641475,20.000437939137164,582.403112739983,1069.6841749377606,0.8375302832650019,0.3299990641905658,0.8465334651096766,6.405673548559652,0.8453224002981737,0.4599986955383749,0.8322312266026822,6.339156887688212
frame_1_4H-pyran_5_chlorane_0_SINGLE_sulfane_0_1,-9.6687,-9.744,-7.7,-6.5236,1.9687,-8.6844,-84.63675462479,4.8455,7.2252,4.8455,0.8938,1.301413609154373,0.105,0.071,0.088,0.0372,-0.08769,0.092,0.073,0.082,0.03836,-0.0849,50,466.85508,45.0,7.234,7.358,9.996,14.043,0.4472720323597796,0.970624827204866,1.399859,4.98307,54.839012,502.627961,12524.5651,447.7262003057879,510.6388956013065,22.12618674677409,589.5397053947132,1044.9044952201032,0.7411712635109952,3.949988798644704,0.9055477464384668,7.125124345734257,0.7362618803578084,5.459984516607609,0.9317300027369108,7.513378998336131
frame_1_benzene_0,-10.0249,-10.1518,-6.5951,-6.4142,3.4298,-8.31,-69.72401925528,4.8455,7.9797,4.8455,0.8536,1.3686867446780144,0.109,0.213,0.161,0.02709,-0.09765,0.119,0.202,0.161,0.02923,-0.09543,49,384.39062,46.0,7.291,8.442,11.261,14.429,0.4227411227001055,0.9895076121245372,1.231377,6.068677,53.555271,465.00003,10838.2441,445.8072049565754,480.0366471059284,21.93379269216727,593.5838224976338,1014.4340546551716,0.6465011181513232,18.559947367809023,0.9590809601988662,7.952795597401716,0.6792652814014163,14.269959533331608,0.954686116973443,7.863615389203674
frame_1_benzene_0_borane_0,-9.8177,-10.0701,-6.9047,-6.5804,2.913,-8.3612,-71.458111886579,4.8455,7.867,4.8455,0.9727,1.4167554372815223,0.095,0.223,0.159,0.02952,-0.08891,0.136,0.166,0.151,0.03679,-0.08339,51,396.20959,45.0,7.343,7.673,11.796,14.279,0.4231065544624867,0.97228653139044,1.176298,5.326647,53.343308,459.477875,10595.2476,456.70789227674464,501.3924214098623,22.201036458751915,599.7639023576389,1042.0378448051154,0.6790730991427506,17.06995159313039,0.9404810926651564,7.628216154135906,0.7209804789414834,9.819972152579984,0.9472721456504724,7.742740133534736
frame_1_cyclohexane_0_butane_0_SINGLE_butane_0_3,-9.3316,-9.5585,-4.6175,-4.534,4.7141,-6.9745,-107.406251851946,4.8455,7.5656,4.8455,-1.2113,0.5750482586391551,0.265,0.204,0.234,0.03057,-0.11382,0.346,0.199,0.272,0.01147,-0.12102,97,520.79414,97.0,9.974,11.605,12.742,19.888,0.4495987340341359,0.9969921796671346,1.999386,9.11883,54.084138,451.348976,9402.3793,674.1215681003549,773.6097564009267,20.5501481489541,817.2209012430583,1493.8913074634704,0.8722686824450242,0.0,0.854834819263639,6.5812138174789565,0.8402150111815132,0.0,0.8998960837250648,7.215373333959258
frame_1_cyclopentene_3_butane_1_SINGLE_methanol_1_4,-9.7979,-9.8283,-5.416,-5.3728,4.3819,-7.6069,-85.096596243377,4.8455,7.7631,4.8455,-0.211,0.8940541003059905,0.079,0.149,0.114,0.04052,-0.09649,0.097,0.118,0.108,0.03633,-0.09659,69,430.54369,47.0,7.382,8.777,13.164,14.303,0.394630835448626,0.9687753996206993,1.703567,6.319728,52.317606,468.57753,11640.6123,540.0733509015516,593.1024440076869,20.774929323850767,686.1627146080931,1205.4828378646494,0.7402278233320909,4.689986700162941,0.8889348528269808,6.922410719551859,0.7191867778606038,8.479975952533433,0.940615840505362,7.699635629913708
frame_1_oxolane_2_butane_0_SINGLE_benzene_0_3,-9.7154,-9.9002,-5.9375,-5.9277,3.7779,-7.8264,-100.552885522946,4.8455,7.6192,4.8455,-0.2713,0.8553265700842786,0.171,0.153,0.162,0.01482,-0.10996,0.177,0.147,0.162,0.00795,-0.11477,75,492.56852,73.0,8.728,9.173,13.695,17.23,0.4296972417576937,0.9870531622364804,1.501428,6.789299,58.497637,515.289503,11876.9392,594.204000740295,646.4075838009861,20.33879388224968,761.681225600221,1324.3291348532116,0.727136134923593,5.359984800186231,0.9018750491478236,7.076645749118878,0.7132582463660082,7.91997754057368,0.9350790351914142,7.592095135213272
frame_1_oxolane_2_butane_0_SINGLE_butane_0_3,-9.6883,-9.872,-5.005,-4.7189,4.6833,-7.3466,-98.331228870825,4.8455,7.7243,4.8455,-1.4095,0.5457298583284065,0.319,0.166,0.243,-0.00465,-0.12951,0.333,0.159,0.246,-0.01415,-0.13685,77,472.57882,77.0,9.087,9.099,13.593,18.005,0.442415902892105,0.9907010014306152,1.49697,6.708317,52.715277,412.403371,7793.4687,602.3362502989711,649.8924526183976,19.58304289808836,765.7298653359082,1319.6667017301536,0.7270720741707044,5.239985140480565,0.9019279229862468,7.07625682201772,0.7136193160641073,7.869977682362977,0.9348010842508891,7.587041104537366
frame_1_pyrazine_0_bromane_0_SINGLE_oxidane_0_1,-9.8135,-10.0133,-8.6321,-8.3599,1.1814,-9.2228,-79.493282069424,4.8455,7.592,4.8455,1.9166,1.9913458513937343,0.13,0.079,0.105,0.01248,-0.0868,0.073,0.095,0.084,0.02292,-0.07104,42,487.18982,39.0,6.821,9.033,11.755,13.01,0.3849340197644831,0.9536724820407564,1.46255,5.745262,55.089374,488.927334,11385.2015,435.931618377332,455.5106939656822,22.742689645718496,594.2231031181665,1008.9970799216832,0.6384993477450615,21.17993993804929,0.9596821878494632,7.988232495832074,0.738964079388744,9.639972663021489,0.9629856301766918,8.103372535178302
frame_2_2-methylpropane_1_bromane_0_SINGLE_methanol_1_1,-9.5469,-9.7534,-8.0623,-6.7049,1.4845,-8.8046,-73.690143076883,4.8455,7.7608,4.8455,0.8938,1.3634429365079366,0.108,0.209,0.158,0.02854,-0.09779,0.101,0.224,0.162,0.02932,-0.09707,62,425.36413,52.0,6.202,9.491,11.331,11.495,0.3556951449701396,0.9267171880038696,1.669813,7.102823,52.665921,422.40839,8491.6712,446.1896682227931,537.5839107961203,20.813804254330734,560.932587521485,1031.2570896670084,0.8246540719344018,1.5999954627421544,0.862054115339382,6.588386355867294,0.8496901789042117,0.1099996880635219,0.8016105618709992,5.949240479810029
frame_2_2-methylpropane_1_butane_0_SINGLE_butane_0_3,-9.2597,-9.5251,-6.2354,-4.4043,3.0243,-7.7476,-88.242860298104,4.8455,7.547,4.8455,0.126,0.9916946671607602,0.188,0.201,0.195,0.02722,-0.09972,0.204,0.212,0.208,0.02546,-0.10317,82,428.65546,82.0,9.547,9.654,11.952,18.921,0.4668739358945887,0.9909395621661254,1.655473,7.244637,52.755867,430.784547,9047.0161,578.2104295874503,665.5621499498268,19.60480814501067,725.3121165027255,1302.5441643514753,0.8351775065225494,0.729997929876108,0.8616763784378839,6.586125919240978,0.8575696515095043,0.4199988089698149,0.8195187027849975,6.137629130588445
frame_2_4H-pyran_1_benzene_0_SINGLE_benzene_0_3,-9.4557,-9.6856,-6.9495,-6.3553,2.5062,-8.2026,-109.247029765534,4.8455,7.1133,4.8455,1.1705,1.443371441912903,0.122,0.065,0.094,0.02115,-0.08905,0.073,0.091,0.082,0.04289,-0.06599,70,564.54839,68.0,8.908,11.023,13.244,17.385,0.417386920195909,0.9758082622361924,2.046787,8.879112,47.152926,339.213147,6527.2651,623.6052833762881,669.4878327863291,22.8502086682964,781.5147919075249,1392.9443745511203,0.6953620014908685,8.309976434617079,0.967704202443374,8.161764826115347,0.7598537085352217,10.359970621255464,0.9344082796880204,7.60217891047599
frame_2_benzene_0_benzene_0,-9.9654,-10.0051,-6.8036,-6.7336,3.1618,-8.3845,-86.721363342229,4.8455,7.8182,4.8455,1.1229,1.4925258989515036,0.116,0.186,0.151,0.02749,-0.09175,0.112,0.171,0.142,0.0285,-0.0904,60,472.49753,48.0,7.362,9.078,13.18,14.272,0.3906925814399123,0.9693018201575658,1.493735,6.716684,52.730579,445.512282,10010.8871,526.5914792572422,585.6168912337754,23.37699243481841,662.0839127204254,1188.0084357249898,0.6814899366380917,15.25995672590332,0.934019942164678,7.554209661736692,0.7357610417443161,7.649978306235933,0.9257153727002314,7.421952292024749
frame_2_furan_0_butane_0_SINGLE_butane_0_2,-10.0539,-10.1235,-6.5924,-6.2156,3.4614,-8.3231,-92.217051317587,4.8455,7.8949,4.8455,0.4605,1.1738120957979123,0.143,0.182,0.162,0.02909,-0.0864,0.155,0.177,0.166,0.03092,-0.08699,62,468.4625,62.0,8.066,11.323,11.76,15.868,0.4073836358501707,0.9836350111579468,2.071402,8.795735,53.983962,461.86996,10442.9449,549.4887833698452,583.9450603272413,21.40107463322394,695.5898793037036,1225.036599337844,0.6671810939247111,16.3999534931071,0.9472475498370726,7.8238131611803325,0.7423767704062616,9.009974449566773,0.9274636659735188,7.4143327245396
frame_2_naphthalene_0_butane_0_SINGLE_butane_0_2,-9.7648,-9.817,-7.2373,-7.1416,2.5276,-8.5011,-135.538143599562,4.8455,7.3992,4.8455,1.9873,2.035015018985938,0.05,0.132,0.091,0.03538,-0.08401,0.053,0.135,0.094,0.04331,-0.08397,98,708.84959,70.0,9.852,9.963,15.755,16.43,0.3898168359115497,0.833840844498579,1.641368,7.495551,54.878582,504.284153,12973.5416,799.455139979212,900.7988002342696,23.62946751422852,974.3460885748312,1800.7569654551924,0.677046449869549,12.389964864609578,0.9380900226403396,7.600980649210063,0.802168747670518,2.80999203144091,0.8705269056812135,6.703499810626465
frame_2_naphthalene_0_butane_0_SINGLE_butane_0_3,-9.7871,-9.8549,-7.2103,-7.1543,2.5769,-8.4987,-135.54796462636,4.8455,7.429,4.8455,1.9808,2.031504350978305,0.051,0.127,0.089,0.03389,-0.08462,0.052,0.135,0.094,0.04092,-0.08612,98,708.84959,98.0,10.488,10.546,15.175,20.182,0.4396662527503648,0.9621472158657514,1.69924,8.204986,53.883454,486.604434,12421.1585,786.4611374761034,900.7178604483435,23.6763745074744,947.6857364081548,1778.392428113556,0.6650204994409243,14.669958399017151,0.9468820979970596,7.79315402347267,0.7864098024599329,3.959988770286833,0.8997712084067525,7.029254545152625
